back,emotion,plocation,tlocation,Mtext,Ftext,hint,length,sign,corrAns,Pic,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,confirm.started,text.started,confirm.keys,confirm.rt,confirm_2.started,text_2.started,confirm_2.keys,confirm_2.rt,Pre_instruction.started,pre_2.started,pre_2.keys,pre_2.rt,text_3.started,key.started,key.stopped,hintext.started,hintext.stopped,Leftlabel.started,Leftlabel.stopped,Rightlabel.started,Rightlabel.stopped,image.started,text_3.stopped,image.stopped,key.keys,key.corr,feedback_01.started,feedback_01.stopped,key.rt,confirm_3.started,text_4.started,confirm_3.keys,confirm_3.rt,text_6.started,key_2.started,key_2.stopped,Leftlabel_2.started,Leftlabel_2.stopped,Rightlabel_2.started,Rightlabel_2.stopped,hintext_2.started,hintext_2.stopped,image_2.started,text_6.stopped,image_2.stopped,key_2.keys,key_2.corr,key_2.rt,text_7.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_11.started,key_resp_4.started,text_11.stopped,key_resp_4.stopped,key_resp_4.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,10.843081699998947,10.843081699998947,space,1.1063967999998567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
1-back,negative,practice_nag_1.xlsx,nag_1.xlsx,"1-back在本轮实验中，您需要牢牢记住当前的符号对的值，并判断是否与前一项相等。
请按任意键以继续
","1-back好了，准备开始正式测试了吗如果你看到的符号对和前一项相匹配，请在3.5秒内按下 "K"键。否则请按"S"键。如果你准备好了，请按任何键开始实验。","你看到的符号对和前一项相匹配吗？如果是，请按"K"键，反之请按"S"键。",21,§ £,None,source/negative/9592.JPG,0,0,0,1,,,,,0,0,0,0,,,,,11.989192299999559,11.989192299999559,space,0.19124760000158858,12.189996600000086,12.189996600000086,space,1.0297988000002078,27.831786900000225,27.831786900000225,13.2739289000001,27.831786900000225,13.2739289000001,27.831786900000225,13.2739289000001,27.831786900000225,13.2739289000001,28.323585699999967,28.33547499999986,16.783314899999823,s,0,28.60110910000003,29.61918490000062,0.7498703000019304,29.61918490000062,29.61918490000062,space,0.7282792999994854,30.39487249999911,30.39487249999911,30.39487249999911,30.39487249999911,30.39487249999911,30.39487249999911,30.39487249999911,30.39487249999911,30.39487249999911,30.850299300000188,30.89921460000005,33.86794089999967,None,1,,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
1-back,negative,practice_nag_1.xlsx,nag_1.xlsx,"1-back在本轮实验中，您需要牢牢记住当前的符号对的值，并判断是否与前一项相等。
请按任意键以继续
","1-back好了，准备开始正式测试了吗如果你看到的符号对和前一项相匹配，请在3.5秒内按下 "K"键。否则请按"S"键。如果你准备好了，请按任何键开始实验。","你看到的符号对和前一项相匹配吗？如果是，请按"K"键，反之请按"S"键。",21,§ ‡,s,source/negative/1030.JPG,0,0,0,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.86794089999967,33.86794089999967,,33.86794089999967,,33.86794089999967,,33.86794089999967,,34.34766370000034,34.371807499999704,,s,1,0.5031738000016048,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
1-back,negative,practice_nag_1.xlsx,nag_1.xlsx,"1-back在本轮实验中，您需要牢牢记住当前的符号对的值，并判断是否与前一项相等。
请按任意键以继续
","1-back好了，准备开始正式测试了吗如果你看到的符号对和前一项相匹配，请在3.5秒内按下 "K"键。否则请按"S"键。如果你准备好了，请按任何键开始实验。","你看到的符号对和前一项相匹配吗？如果是，请按"K"键，反之请按"S"键。",21,§ ‡,k,source/negative/6570_1.JPG,0,0,0,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.38901540000006,34.38901540000006,,34.38901540000006,,34.38901540000006,,34.38901540000006,,34.87486109999918,34.89295610000045,,k,1,0.7299322000017128,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
1-back,negative,practice_nag_1.xlsx,nag_1.xlsx,"1-back在本轮实验中，您需要牢牢记住当前的符号对的值，并判断是否与前一项相等。
请按任意键以继续
","1-back好了，准备开始正式测试了吗如果你看到的符号对和前一项相匹配，请在3.5秒内按下 "K"键。否则请按"S"键。如果你准备好了，请按任何键开始实验。","你看到的符号对和前一项相匹配吗？如果是，请按"K"键，反之请按"S"键。",21,§ £,s,source/negative/9470.JPG,0,0,0,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.141014099999666,35.141014099999666,,35.141014099999666,,35.141014099999666,,35.141014099999666,,35.626440099998945,35.64443039999969,,s,1,0.9261703000011039,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
1-back,negative,practice_nag_1.xlsx,nag_1.xlsx,"1-back在本轮实验中，您需要牢牢记住当前的符号对的值，并判断是否与前一项相等。
请按任意键以继续
","1-back好了，准备开始正式测试了吗如果你看到的符号对和前一项相匹配，请在3.5秒内按下 "K"键。否则请按"S"键。如果你准备好了，请按任何键开始实验。","你看到的符号对和前一项相匹配吗？如果是，请按"K"键，反之请按"S"键。",21,¤ #,s,source/negative/7195.JPG,0,0,0,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09229570000025,36.09229570000025,,36.09229570000025,,36.09229570000025,,36.09229570000025,,36.57218180000018,36.595818300000246,,s,1,1.7144373000010091,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
1-back,negative,practice_nag_1.xlsx,nag_1.xlsx,"1-back在本轮实验中，您需要牢牢记住当前的符号对的值，并判断是否与前一项相等。
请按任意键以继续
","1-back好了，准备开始正式测试了吗如果你看到的符号对和前一项相匹配，请在3.5秒内按下 "K"键。否则请按"S"键。如果你准备好了，请按任何键开始实验。","你看到的符号对和前一项相匹配吗？如果是，请按"K"键，反之请按"S"键。",21,¤ #,k,source/negative/6370.JPG,0,0,0,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.825665299998946,37.825665299998946,,37.825665299998946,,37.825665299998946,,37.825665299998946,,38.31106170000021,38.32929899999908,,k,1,1.3751753000015015,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
1-back,negative,practice_nag_1.xlsx,nag_1.xlsx,"1-back在本轮实验中，您需要牢牢记住当前的符号对的值，并判断是否与前一项相等。
请按任意键以继续
","1-back好了，准备开始正式测试了吗如果你看到的符号对和前一项相匹配，请在3.5秒内按下 "K"键。否则请按"S"键。如果你准备好了，请按任何键开始实验。","你看到的符号对和前一项相匹配吗？如果是，请按"K"键，反之请按"S"键。",21,¤ #,k,source/negative/9330.JPG,0,0,0,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.21998429999985,39.21998429999985,,39.21998429999985,,39.21998429999985,,39.21998429999985,,39.70513530000062,39.72337370000059,,k,1,0.6702749000014592,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
1-back,negative,practice_nag_1.xlsx,nag_1.xlsx,"1-back在本轮实验中，您需要牢牢记住当前的符号对的值，并判断是否与前一项相等。
请按任意键以继续
","1-back好了，准备开始正式测试了吗如果你看到的符号对和前一项相匹配，请在3.5秒内按下 "K"键。否则请按"S"键。如果你准备好了，请按任何键开始实验。","你看到的符号对和前一项相匹配吗？如果是，请按"K"键，反之请按"S"键。",21,¥ §,s,source/negative/3160.JPG,0,0,0,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9104970999997,39.9104970999997,,39.9104970999997,,39.9104970999997,,39.9104970999997,,40.39614880000045,40.41407889999937,,s,1,0.6321878000017023,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
1-back,negative,practice_nag_1.xlsx,nag_1.xlsx,"1-back在本轮实验中，您需要牢牢记住当前的符号对的值，并判断是否与前一项相等。
请按任意键以继续
","1-back好了，准备开始正式测试了吗如果你看到的符号对和前一项相匹配，请在3.5秒内按下 "K"键。否则请按"S"键。如果你准备好了，请按任何键开始实验。","你看到的符号对和前一项相匹配吗？如果是，请按"K"键，反之请按"S"键。",21,§ £,s,source/negative/3500.JPG,0,0,0,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5649897000003,40.5649897000003,,40.5649897000003,,40.5649897000003,,40.5649897000003,,41.050621899999896,41.06883249999919,,s,1,0.673022700000729,,,,,,,,,,1,001,2022-11-20_23h24.18.685,Lab5_Emotional_NBack_Task,2022.2.4,164.75577427881203,
